<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;5;20260105;085500;80265;80265;80265;80265;518
Si;5;20260105;090000;80260;80504;80200;80385;8312
Si;5;20260105;090500;80389;80406;80303;80337;3658
Si;5;20260105;091000;80350;80384;80308;80372;1689
Si;5;20260105;091500;80368;80450;80343;80343;1954
Si;5;20260105;092000;80346;80373;80322;80350;583
Si;5;20260105;092500;80338;80363;80310;80352;1239
Si;5;20260105;093000;80356;80375;80330;80368;805
Si;5;20260105;093500;80371;80468;80351;80434;3062
Si;5;20260105;094000;80454;80497;80414;80480;1671
Si;5;20260105;094500;80477;80633;80451;80476;8972
Si;5;20260105;095000;80475;80480;80400;80429;2692
Si;5;20260105;095500;80434;80460;80360;80446;2189
Si;5;20260105;100000;80444;80556;80363;80542;5816
Si;5;20260105;100500;80542;80599;80438;80579;4506
Si;5;20260105;101000;80580;80714;80558;80682;7730
Si;5;20260105;101500;80687;80885;80640;80878;14048
Si;5;20260105;102000;80877;81027;80830;81014;12502
Si;5;20260105;102500;81019;81024;80854;80873;9913
Si;5;20260105;103000;80871;81083;80871;80971;9693
Si;5;20260105;103500;80980;81039;80941;81021;3340
Si;5;20260105;104000;81026;81158;81011;81115;7744
Si;5;20260105;104500;81116;81404;81103;81398;22901
Si;5;20260105;105000;81397;81480;81368;81467;22511
Si;5;20260105;105500;81469;81675;81454;81662;26121
Si;5;20260105;110000;81662;81709;81404;81404;17883
Si;5;20260105;110500;81408;81466;81370;81434;5332
Si;5;20260105;111000;81435;81489;81432;81446;4241
Si;5;20260105;111500;81449;81459;81375;81442;3696
Si;5;20260105;112000;81447;81533;81435;81492;6050
Si;5;20260105;112500;81489;81509;81441;81473;1973
Si;5;20260105;113000;81476;81500;81460;81485;1502
Si;5;20260105;113500;81484;81484;81421;81438;1799
Si;5;20260105;114000;81438;81445;81420;81433;2403
Si;5;20260105;114500;81430;81462;81427;81457;855
Si;5;20260105;115000;81459;81486;81452;81480;1054
Si;5;20260105;115500;81480;81487;81459;81466;654
Si;5;20260105;120000;81466;81567;81442;81518;4820
Si;5;20260105;120500;81518;81534;81447;81493;2949
Si;5;20260105;121000;81495;81559;81473;81530;2900
Si;5;20260105;121500;81533;81599;81533;81587;6174
Si;5;20260105;122000;81588;81667;81560;81598;5597
Si;5;20260105;122500;81599;81620;81542;81567;3904
Si;5;20260105;123000;81568;81590;81555;81568;850
Si;5;20260105;123500;81568;81578;81537;81549;1336
Si;5;20260105;124000;81550;81559;81524;81555;1768
Si;5;20260105;124500;81551;81620;81550;81568;3152
Si;5;20260105;125000;81568;81592;81385;81457;7441
Si;5;20260105;125500;81458;81459;81250;81288;11890
Si;5;20260105;130000;81288;81345;81217;81344;6620
Si;5;20260105;130500;81344;81378;81286;81348;4899
Si;5;20260105;131000;81350;81357;81307;81320;1791
Si;5;20260105;131500;81318;81490;81310;81462;3161
Si;5;20260105;132000;81463;81484;81413;81466;1573
Si;5;20260105;132500;81466;81497;81449;81495;672
Si;5;20260105;133000;81494;81500;81471;81474;737
Si;5;20260105;133500;81473;81480;81413;81478;1871
Si;5;20260105;134000;81478;81496;81412;81453;1364
Si;5;20260105;134500;81458;81463;81415;81436;849
Si;5;20260105;135000;81438;81463;81412;81453;962
Si;5;20260105;135500;81461;81473;81411;81421;798
Si;5;20260105;140500;81417;81517;81417;81504;2241
Si;5;20260105;141000;81505;81515;81355;81403;2708
Si;5;20260105;141500;81403;81419;81335;81344;2774
Si;5;20260105;142000;81344;81418;81344;81415;1548
Si;5;20260105;142500;81410;81474;81410;81445;1228
Si;5;20260105;143000;81444;81477;81418;81447;893
Si;5;20260105;143500;81448;81474;81369;81370;1910
Si;5;20260105;144000;81370;81405;81355;81393;1310
Si;5;20260105;144500;81388;81388;81349;81374;759
Si;5;20260105;145000;81374;81379;81335;81340;1013
Si;5;20260105;145500;81342;81365;81273;81319;3113
Si;5;20260105;150000;81325;81388;81279;81364;1462
Si;5;20260105;150500;81363;81380;81304;81339;1427
Si;5;20260105;151000;81339;81362;81297;81307;1190
Si;5;20260105;151500;81306;81391;81306;81355;1054
Si;5;20260105;152000;81356;81391;81356;81372;396
Si;5;20260105;152500;81371;81397;81368;81391;689
Si;5;20260105;153000;81389;81478;81380;81441;2586
Si;5;20260105;153500;81440;81475;81434;81457;1359
Si;5;20260105;154000;81457;81474;81455;81470;692
Si;5;20260105;154500;81471;81483;81435;81441;789
Si;5;20260105;155000;81440;81476;81430;81470;636
Si;5;20260105;155500;81468;81484;81462;81470;431
Si;5;20260105;160000;81469;81485;81410;81431;2025
Si;5;20260105;160500;81436;81499;81423;81499;1239
Si;5;20260105;161000;81499;81540;81497;81534;1803
Si;5;20260105;161500;81534;81550;81510;81516;1020
Si;5;20260105;162000;81516;81529;81492;81529;939
Si;5;20260105;162500;81530;81535;81508;81509;497
Si;5;20260105;163000;81508;81529;81478;81479;620
Si;5;20260105;163500;81481;81514;81475;81508;478
Si;5;20260105;164000;81508;81522;81495;81516;470
Si;5;20260105;164500;81518;81548;81501;81501;1220
Si;5;20260105;165000;81501;81509;81481;81481;610
Si;5;20260105;165500;81483;81494;81475;81476;732
Si;5;20260105;170000;81477;81481;81461;81468;730
Si;5;20260105;170500;81468;81489;81440;81462;1251
Si;5;20260105;171000;81461;81468;81451;81459;358
Si;5;20260105;171500;81464;81464;81438;81441;399
Si;5;20260105;172000;81441;81475;81428;81458;761
Si;5;20260105;172500;81458;81495;81458;81480;665
Si;5;20260105;173000;81486;81562;81486;81555;2024
Si;5;20260105;173500;81553;81560;81474;81483;1488
Si;5;20260105;174000;81482;81488;81444;81475;897
Si;5;20260105;174500;81471;81477;81456;81456;349
Si;5;20260105;175000;81457;81500;81457;81460;1162
Si;5;20260105;175500;81460;81489;81454;81479;531
Si;5;20260105;180000;81479;81500;81425;81425;1199
Si;5;20260105;180500;81425;81438;81375;81387;2839
Si;5;20260105;181000;81387;81391;81370;81373;1216
Si;5;20260105;181500;81373;81399;81373;81388;1013
Si;5;20260105;182000;81388;81455;81383;81450;1044
Si;5;20260105;182500;81455;81498;81455;81474;1143
Si;5;20260105;183000;81464;81485;81457;81457;933
Si;5;20260105;183500;81466;81481;81460;81480;464
Si;5;20260105;184000;81477;81497;81477;81482;777
Si;5;20260105;184500;81484;81554;81482;81501;2240
Si;5;20260105;190500;81501;81650;81501;81572;3108
Si;5;20260105;191000;81573;81599;81556;81561;1194
Si;5;20260105;191500;81561;81598;81553;81597;654
Si;5;20260105;192000;81598;81598;81594;81594;552
Si;5;20260105;192500;81595;81595;81581;81583;273
Si;5;20260105;193000;81585;81598;81571;81596;1040
Si;5;20260105;193500;81596;81633;81587;81630;1406
Si;5;20260105;194000;81630;81644;81617;81626;332
Si;5;20260105;194500;81623;81629;81586;81588;652
Si;5;20260105;195000;81589;81594;81575;81593;258
Si;5;20260105;195500;81592;81598;81556;81597;561
Si;5;20260105;200000;81595;81600;81579;81579;686
Si;5;20260105;200500;81580;81586;81568;81576;552
Si;5;20260105;201000;81580;81587;81551;81552;243
Si;5;20260105;201500;81551;81578;81542;81549;453
Si;5;20260105;202000;81558;81578;81550;81562;362
Si;5;20260105;202500;81561;81583;81556;81556;210
Si;5;20260105;203000;81557;81586;81555;81573;431
Si;5;20260105;203500;81580;81580;81560;81574;189
Si;5;20260105;204000;81567;81580;81567;81572;162
Si;5;20260105;204500;81573;81580;81566;81577;106
Si;5;20260105;205000;81574;81574;81552;81552;170
Si;5;20260105;205500;81552;81553;81551;81551;181
Si;5;20260105;210000;81551;81566;81549;81554;313
Si;5;20260105;210500;81552;81574;81552;81572;122
Si;5;20260105;211000;81565;81578;81565;81565;103
Si;5;20260105;211500;81568;81572;81565;81567;63
Si;5;20260105;212000;81570;81601;81570;81598;474
Si;5;20260105;212500;81594;81604;81589;81604;307
Si;5;20260105;213000;81601;81604;81587;81591;326
Si;5;20260105;213500;81596;81606;81565;81590;503
Si;5;20260105;214000;81588;81588;81581;81582;42
Si;5;20260105;214500;81584;81590;81578;81590;74
Si;5;20260105;215000;81590;81623;81588;81609;326
Si;5;20260105;215500;81615;81633;81615;81626;438
Si;5;20260105;220000;81625;81634;81625;81628;281
Si;5;20260105;220500;81629;81771;81629;81754;6745
Si;5;20260105;221000;81751;81819;81707;81743;1982
Si;5;20260105;221500;81744;81770;81708;81708;435
Si;5;20260105;222000;81708;81709;81655;81655;1158
Si;5;20260105;222500;81660;81737;81660;81713;753
Si;5;20260105;223000;81719;81733;81671;81680;413
Si;5;20260105;223500;81675;81677;81655;81663;321
Si;5;20260105;224000;81663;81679;81656;81670;323
Si;5;20260105;224500;81676;81683;81667;81669;171
Si;5;20260105;225000;81669;81669;81667;81667;53
Si;5;20260105;225500;81669;81671;81655;81663;156
Si;5;20260105;230000;81660;81660;81650;81655;168
Si;5;20260105;230500;81656;81658;81640;81657;239
Si;5;20260105;231000;81657;81678;81654;81673;306
Si;5;20260105;231500;81670;81682;81664;81682;188
Si;5;20260105;232000;81682;81683;81661;81672;189
Si;5;20260105;232500;81680;81688;81669;81672;320
Si;5;20260105;233000;81669;81676;81660;81676;222
Si;5;20260105;233500;81674;81674;81663;81667;233
Si;5;20260105;234000;81665;81709;81661;81709;494
Si;5;20260105;234500;81709;81737;81660;81660;481
Si;5;20260106;085500;81714;81714;81714;81714;23
Si;5;20260106;090000;81714;81768;81633;81664;2950
Si;5;20260106;090500;81658;81666;81535;81586;3344
Si;5;20260106;091000;81578;81578;81486;81551;2874
Si;5;20260106;091500;81538;81620;81508;81584;2043
Si;5;20260106;092000;81582;81603;81523;81588;1048
Si;5;20260106;092500;81578;81616;81561;81561;718
Si;5;20260106;093000;81561;81625;81541;81613;1097
Si;5;20260106;093500;81611;81625;81570;81580;486
Si;5;20260106;094000;81576;81622;81566;81622;940
Si;5;20260106;094500;81621;81700;81615;81686;1731
Si;5;20260106;095000;81688;81718;81672;81713;1305
Si;5;20260106;095500;81713;81797;81704;81753;3219
Si;5;20260106;100000;81741;81853;81477;81548;17467
Si;5;20260106;100500;81550;81550;81250;81310;14921
Si;5;20260106;101000;81310;81378;81235;81343;9724
Si;5;20260106;101500;81343;81356;81117;81197;11204
Si;5;20260106;102000;81199;81199;81016;81142;10679
Si;5;20260106;102500;81141;81150;81035;81048;4464
Si;5;20260106;103000;81046;81123;81040;81084;5646
Si;5;20260106;103500;81084;81176;81071;81151;3684
Si;5;20260106;104000;81150;81166;81040;81047;5082
Si;5;20260106;104500;81047;81150;81040;81150;4607
Si;5;20260106;105000;81150;81366;81141;81308;7308
Si;5;20260106;105500;81305;81348;81278;81309;4631
Si;5;20260106;110000;81307;81307;81221;81250;2648
Si;5;20260106;110500;81250;81390;81231;81369;2928
Si;5;20260106;111000;81369;81377;81287;81313;1471
Si;5;20260106;111500;81318;81318;81219;81283;1625
Si;5;20260106;112000;81280;81361;81264;81325;1276
Si;5;20260106;112500;81324;81326;81288;81301;758
Si;5;20260106;113000;81301;81342;81276;81334;879
Si;5;20260106;113500;81331;81378;81321;81356;1278
Si;5;20260106;114000;81345;81363;81286;81291;1422
Si;5;20260106;114500;81293;81296;81251;81253;1035
Si;5;20260106;115000;81252;81346;81251;81313;1369
Si;5;20260106;115500;81312;81315;81222;81242;1547
Si;5;20260106;120000;81236;81239;81121;81156;3650
Si;5;20260106;120500;81167;81286;81135;81255;2660
Si;5;20260106;121000;81258;81345;81243;81303;4820
Si;5;20260106;121500;81288;81330;81273;81323;2899
Si;5;20260106;122000;81320;81329;81270;81280;899
Si;5;20260106;122500;81285;81293;81250;81273;950
Si;5;20260106;123000;81272;81295;81237;81258;1217
Si;5;20260106;123500;81258;81308;81248;81264;685
Si;5;20260106;124000;81263;81308;81250;81305;651
